,date,amount,transaction_id,rate,flat_fee,product,rate_fee,total_fees
72359,2021-01-01 00:11:30,79,pos_1609459889978113079,0.01,2.0,pos,0.79,2.79
22413,2021-01-01 00:29:00,900,pr_1609460939891215900,0.03,0.0,pr,27.0,27.0
47631,2021-01-01 00:43:41,391,pr_1609461820704721391,0.03,0.0,pr,11.73,11.73
135293,2021-01-01 03:14:48,637,pr_1609470887933563637,0.03,0.0,pr,19.11,19.11
44004,2021-01-01 03:20:11,1312,pr_1609471211063515312,0.03,0.0,pr,39.36,39.36
53769,2021-01-01 03:41:30,254,pr_1609472489683309254,0.03,0.0,pr,7.62,7.62
41212,2021-01-01 03:42:56,372,pr_1609472575691887372,0.03,0.0,pr,11.16,11.16
29550,2021-01-01 04:30:46,1772,pr_1609475445693396772,0.03,0.0,pr,53.16,53.16
25976,2021-01-01 05:06:32,195,pr_1609477591967987195,0.03,0.0,pr,5.85,5.85
40825,2021-01-01 05:10:21,1194,pp_1609477820703969194,0.025,2.0,pp,29.85,31.85
21180,2021-01-01 05:12:04,1509,pr_1609477924464567509,0.03,0.0,pr,45.269999999999996,45.269999999999996
91362,2021-01-01 06:09:37,386,pr_1609481376827967386,0.03,0.0,pr,11.58,11.58
136196,2021-01-01 06:57:54,780,pp_1609484274389227780,0.025,2.0,pp,19.5,21.5
47985,2021-01-01 07:12:16,730,pr_1609485136132176730,0.03,0.0,pr,21.9,21.9
117134,2021-01-01 07:25:09,5,pr_1609485909050288005,0.03,0.0,pr,0.15,0.15
53457,2021-01-01 07:49:33,621,pr_1609487372535940621,0.03,0.0,pr,18.63,18.63
36203,2021-01-01 07:53:50,496,pr_1609487629757530496,0.03,0.0,pr,14.879999999999999,14.879999999999999
1816,2021-01-01 08:00:58,759,pr_1609488058326671759,0.03,0.0,pr,22.77,22.77
60002,2021-01-01 08:17:21,17,pos_1609489041014337017,0.01,2.0,pos,0.17,2.17
133696,2021-01-01 08:17:21,17,pos_1609489041014337017,0.01,2.0,pos,0.17,2.17
107,2021-01-01 08:20:15,77,pos_1609489215196978077,0.01,2.0,pos,0.77,2.77
90517,2021-01-01 08:48:55,146,pos_1609490935214273146,0.01,2.0,pos,1.46,3.46
119937,2021-01-01 08:51:11,116,pp_1609491070724759116,0.025,2.0,pp,2.9000000000000004,4.9
14896,2021-01-01 09:03:28,1489,pp_1609491807654700489,0.025,2.0,pp,37.225,39.225
84263,2021-01-01 09:07:04,2163,pr_1609492024460330163,0.03,0.0,pr,64.89,64.89
48715,2021-01-01 09:15:44,1286,pr_1609492544264817286,0.03,0.0,pr,38.58,38.58
111228,2021-01-01 09:36:22,1934,pp_1609493782433788934,0.025,2.0,pp,48.35,50.35
85854,2021-01-01 09:41:36,192,pr_1609494095992153192,0.03,0.0,pr,5.76,5.76
93594,2021-01-01 09:41:57,243,pr_1609494116636094243,0.03,0.0,pr,7.29,7.29
2079,2021-01-01 09:51:20,1107,pr_1609494679690265107,0.03,0.0,pr,33.21,33.21
4685,2021-01-01 10:04:56,1465,pr_1609495495753295465,0.03,0.0,pr,43.949999999999996,43.949999999999996
15203,2021-01-01 10:11:32,133,pos_1609495891876022133,0.01,2.0,pos,1.33,3.33
14094,2021-01-01 10:11:32,133,pos_1609495891876022133,0.01,2.0,pos,1.33,3.33
133181,2021-01-01 10:34:44,1732,pr_1609497284021569732,0.03,0.0,pr,51.96,51.96
9874,2021-01-01 10:41:01,15,pr_1609497661093826015,0.03,0.0,pr,0.44999999999999996,0.44999999999999996
126210,2021-01-01 10:51:31,3035,pp_1609498290772618035,0.025,2.0,pp,75.875,77.875
66931,2021-01-01 11:11:45,27,pr_1609499505366456027,0.03,0.0,pr,0.8099999999999999,0.8099999999999999
127188,2021-01-01 11:19:40,743,pr_1609499979695920743,0.03,0.0,pr,22.29,22.29
91229,2021-01-01 11:52:51,74,pr_1609501970582682074,0.03,0.0,pr,2.2199999999999998,2.2199999999999998
